,price,size_in_sqf,number_of_bath,number_of_bed,full_location,location_area,purpose_of_listing,type_of_listing,completion_status
0,19000000.0,2350.0,4,3,"Block B, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
1,33000000.0,2294.0,4,3,"Gulshan 1, Gulshan, Dhaka",Gulshan,For Sale,Apartment,Ready
2,13500000.0,1745.0,3,3,"Block H, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
3,5300000.0,1080.0,2,3,"Hazaribag, Dhaka",Hazaribag,For Sale,Apartment,Ready
4,25000000.0,1920.0,3,3,"Banani, Dhaka",Banani,For Sale,Apartment,Ready
5,7000000.0,1347.0,3,3,"Uttar Badda, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6,21000000.0,1975.0,3,3,"Lalmatia, Dhaka",Lalmatia,For Sale,Apartment,Ready
7,9300000.0,1450.0,3,3,"Baitul Aman Housing Society, Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
8,27500000.0,2030.0,3,3,"Gulshan 1, Gulshan, Dhaka",Gulshan,For Sale,Apartment,Ready
9,21500000.0,1760.0,3,3,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
10,3650000.0,819.0,2,2,"Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
11,6700000.0,1300.0,3,3,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
12,8800000.0,1662.0,3,3,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
13,12200000.0,1600.0,3,3,"Baitul Aman Housing Society, Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
14,4500000.0,750.0,2,2,"Aftab Nagar, Dhaka",Aftab Nagar,For Sale,Apartment,Ready
15,4500000.0,750.0,2,2,"Aftab Nagar, Dhaka",Aftab Nagar,For Sale,Apartment,Ready
16,28500000.0,5600.0,10,12,"Dhanmondi, Dhaka",Dhanmondi,For Sale,Building,Ready
17,4500000.0,750.0,2,2,"Aftab Nagar, Dhaka",Aftab Nagar,For Sale,Apartment,Ready
18,4370000.0,1100.0,3,3,"Madartek, Bashabo, Dhaka",Bashabo,For Sale,Apartment,Ready
19,7500000.0,1320.0,3,3,"Block I, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
20,9000000.0,1400.0,3,3,"Block H, Banasree, Dhaka",Banasree,For Sale,Apartment,Ready
21,28000000.0,2199.0,3,3,"Banani, Dhaka",Banani,For Sale,Apartment,Ready
22,13000000.0,1550.0,3,3,"Sector 11, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
23,4000000.0,800.0,2,2,"Nayatola, Maghbazar, Dhaka",Maghbazar,For Sale,Apartment,Ready
24,6500000.0,800.0,2,2,"Baitul Aman Housing Society, Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
25,29900000.000000004,2030.0,3,3,"Gulshan 1, Gulshan, Dhaka",Gulshan,For Sale,Apartment,Ready
26,5700000.0,1310.0,3,3,"Baitul Aman Housing Society, Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
27,4500000.0,750.0,2,2,"Aftab Nagar, Dhaka",Aftab Nagar,For Sale,Apartment,Ready
28,18000000.0,2220.0,4,4,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
29,6800000.0,1660.0,3,3,"Shah Ali Bag, Section 1, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
