,price,size_in_sqf,number_of_bath,number_of_bed,full_location,location_area,purpose_of_listing,type_of_listing
0,40000.0,2275.0,4,3,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
1,27000.0,1950.0,4,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
2,32000.0,1750.0,4,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
3,40000.0,2275.0,4,4,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
4,40000.0,2275.0,4,4,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
5,25000.0,1260.0,3,3,"Sector 13, Uttara, Dhaka",Uttara,For Rent,Apartment
6,23000.0,1110.0,2,2,"Kathalbagan, Dhaka",Kathalbagan,For Rent,Apartment
7,30000.0,1600.0,4,3,"Sector 12, Uttara, Dhaka",Uttara,For Rent,Apartment
8,80000.0,3187.0,3,3,"Gulshan 2, Gulshan, Dhaka",Gulshan,For Rent,Apartment
9,18540.0,1210.0,3,3,"Kadamtala, Bashabo, Dhaka",Bashabo,For Rent,Apartment
10,23000.0,1565.0,3,3,"Block H, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
11,100000.0,2500.0,3,3,"Gulshan 2, Gulshan, Dhaka",Gulshan,For Rent,Apartment
12,14000.0,900.0,2,2,"Sector 11, Uttara, Dhaka",Uttara,For Rent,Apartment
13,19000.0,1250.0,2,2,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
14,25000.0,1080.0,3,3,"Block A, Section 10, Mirpur, Dhaka",Mirpur,For Rent,Apartment
15,65000.0,1875.0,4,3,"Sector 10, Uttara, Dhaka",Uttara,For Rent,Apartment
16,17000.0,900.0,2,2,"Sector 11, Uttara, Dhaka",Uttara,For Rent,Apartment
17,60000.0,2350.0,3,3,"Sector 7, Uttara, Dhaka",Uttara,For Rent,Apartment
18,30000.0,1650.0,3,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
19,30000.0,1450.0,4,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
20,40000.0,2275.0,4,3,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
21,25000.0,1750.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Rent,Apartment
22,25000.0,1500.0,3,3,"Kafrul, Dhaka",Kafrul,For Rent,Apartment
23,54000.0,1700.0,4,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
24,75000.0,2600.0,4,4,"Sector 7, Uttara, Dhaka",Uttara,For Rent,Apartment
25,45000.0,2250.0,4,3,"Block A, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
26,25000.0,1450.0,3,3,"Block A, Section 10, Mirpur, Dhaka",Mirpur,For Rent,Apartment
27,14000.0,720.0,2,2,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Rent,Apartment
28,30000.0,1850.0,3,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
29,30000.0,2150.0,5,4,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
30,23000.0,1750.0,3,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
31,22000.0,800.0,2,2,"Block A, Aftab Nagar, Dhaka",Aftab Nagar,For Rent,Apartment
32,30000.0,1300.0,2,2,"Sector 6, Uttara, Dhaka",Uttara,For Rent,Apartment
33,45000.0,1616.0,3,3,"Dhanmondi, Dhaka",Dhanmondi,For Rent,Apartment
34,25000.0,1500.0,4,3,"Block I, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
35,45000.0,1850.0,3,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
36,30000.0,2000.0,4,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
37,30000.0,2000.0,4,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
38,22000.0,800.0,3,2,"Block A, Aftab Nagar, Dhaka",Aftab Nagar,For Rent,Apartment
39,12000.0,850.0,2,2,"Ibrahimpur, Dhaka",Ibrahimpur,For Rent,Apartment
40,30000.0,1300.0,2,2,"Sector 6, Uttara, Dhaka",Uttara,For Rent,Apartment
41,22000.0,1580.0,3,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
42,60000.0,2450.0,3,3,"Sector 6, Uttara, Dhaka",Uttara,For Rent,Apartment
43,25000.0,1350.0,3,3,"Block D, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
44,48000.0,2700.0,4,4,"Sector 3, Uttara, Dhaka",Uttara,For Rent,Apartment
45,25000.0,1350.0,3,3,"Sector 11, Uttara, Dhaka",Uttara,For Rent,Apartment
46,50000.0,2400.0,4,4,"Block A, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
47,30000.0,2000.0,4,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
48,14000.0,720.0,2,2,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Rent,Apartment
49,10000.0,1250.0,3,3,"Barontek, Cantonment, Dhaka",Cantonment,For Rent,Apartment
50,22000.0,1500.0,4,3,"Block I, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
51,20000.0,1226.0,3,3,"Uttar Badda, Badda, Dhaka",Badda,For Rent,Apartment
52,33000.0,1570.0,3,3,"Lalmatia, Dhaka",Lalmatia,For Rent,Apartment
53,30000.0,1850.0,4,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
54,40000.0,2200.0,3,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
55,24500.0,1080.0,3,3,"Shantibag, Malibagh, Dhaka",Malibagh,For Rent,Apartment
56,11000.0,965.0,2,2,"South Monipur, Mirpur, Dhaka",Mirpur,For Rent,Apartment
57,24500.0,1080.0,3,3,"Shantibag, Malibagh, Dhaka",Malibagh,For Rent,Apartment
58,59000.0,1550.0,4,3,"Sector 12, Uttara, Dhaka",Uttara,For Rent,Apartment
59,25000.0,1600.0,3,3,"Sector 6, Uttara, Dhaka",Uttara,For Rent,Apartment
60,45000.0,2000.0,4,3,"Block D, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
61,28000.0,1250.0,3,3,"Monipuripara, Tejgaon, Dhaka",Tejgaon,For Rent,Apartment
62,32000.0,1850.0,3,3,"Block A, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
63,20400.0,1300.0,2,3,"Sector 2, Block E, Aftab Nagar, Dhaka",Aftab Nagar,For Rent,Apartment
64,32000.0,2400.0,4,4,"Block J, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
65,16500.0,920.0,2,2,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Rent,Apartment
66,30000.0,1750.0,3,3,"Block C, Aftab Nagar, Dhaka",Aftab Nagar,For Rent,Apartment
67,50000.0,2200.0,3,3,"Block A, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
68,60000.0,1350.0,3,3,"Block G, Section 1, Mirpur, Dhaka",Mirpur,For Rent,Apartment
69,70000.0,2230.0,3,3,"Gulshan 2, Gulshan, Dhaka",Gulshan,For Rent,Apartment
70,23500.0,1400.0,3,3,"Block G, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
71,20000.0,1100.0,3,3,"West Rampura, Rampura, Dhaka",Rampura,For Rent,Apartment
72,45000.0,1900.0,3,3,"Sector 4, Uttara, Dhaka",Uttara,For Rent,Apartment
73,23000.0,1550.0,4,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
74,19000.0,1327.0,3,3,"Block D, Section 15, Mirpur, Dhaka",Mirpur,For Rent,Apartment
75,70000.0,2750.0,6,5,"Sector 1, Uttara, Dhaka",Uttara,For Rent,Apartment
76,50000.0,1800.0,3,3,"Gulshan 2, Gulshan, Dhaka",Gulshan,For Rent,Apartment
77,33000.0,1300.0,3,3,"Sector 4, Uttara, Dhaka",Uttara,For Rent,Apartment
78,30500.0,1594.0,4,3,"Block C, Bashundhara R-A, Dhaka",Bashundhara R-A,For Rent,Apartment
